business_name,address,city,category,rating,review_text,review_length,review_words
The House Of Vadapav,"The House Of Vadapav, NO.100, 10th MAIN, 7th CROSS, KRISHNAIAH LAYOUT, POORNA PRAGNA LAYOUT, BANGALORE, District - B.B.M.P West, STATE - Karnataka-560061","Kumaraswamy Layout & Uttarahalli,Bangalore",restaurant,4.1,Very good food and good service. Would recommend.,49,8
Swadhishita,"Swadhishita, Chandapura - Anekal Rd, Venkateshappa Layout, Terracon Residency, Suryanagar, Bengaluru, Karnataka 560099, India","Electronic City,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
Shiv Shakti Dhaba (Khoraj),"Shiv Shakti Dhaba (Khoraj), Khodiyar Circle, Khoraj, Adalaj, Ahmedabad","GOTA,Ahmedabad",restaurant,3.4,It was fine; price felt slightly high for the portion.,54,10
Jay Neelkanth Tea Stall,"Jay Neelkanth Tea Stall, A-15/Himalaya arcade,Opp-Vastrapur lake,vastrapur,Ahmedabad,Gujarat-380015","Vastrapur,Ahmedabad",restaurant,3.0,Quality is inconsistent — had better visits before.,51,8
Hyderabadi Handi Biryani,"Hyderabadi Handi Biryani, New Address No.32,ckb layout, munekolola, marthahali, Bangalore-37.","Marathahalli,Bangalore",restaurant,3.3,Quality is inconsistent — had better visits before.,51,8
Avon Pub,"AVON PUB, NUMBER 71/72 16TH MAIN ROAD 1ST PHASE 2ND STAGE BTM LAYOUT RASTRAKAVI KUVEMPU NAGAR BTM LAYOUT BANGALORE 560076","BTM,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
Arose Foods,"Arose Foods, Plot No 541, Mohadpura, Bopal Road, Vejalpur, Ahmedabad","Bopal,Ahmedabad",restaurant,4.1,Nice place with tasty food. Slight issues with timing.,54,9
Healthy Khana,"Healthy Khana, 1313, 24th Main, Sector 2, HSR Layout, Bengaluru, Karnataka 560102 Landmark: opposite to Purva Fairmont, Garden Layout","HSR,Bangalore",restaurant,3.0,"Food was okay, average experience.",34,5
Little Cravings,"Little Cravings, S1, North Block, SS Towers, Sai Baba Temple Rd, Silver Springs Layout, Munnekollal, Bengaluru, Karnataka 560066, India","Marathahalli,Bangalore",restaurant,4.0,Good experience overall. Worth a repeat visit.,46,7
Shahi Biriyani,"Shahi Biriyani, shop no -7,bharathi city main road, Chokkanahalli layout ,Jakkur post, Yelahanka, B.B.M.P North Karnataka, Bangalore 560064","Geddalahalli,Bangalore",restaurant,3.0,Decent place but nothing special. Could improve.,48,7
Idc Kitchen,"IDC Kitchen, 134,IDC (Idle Dosa Coffee Kitchen), Media Domain, Double road, Indiranagar 2nd stage Diagonally opposite HDFC Bank Bangalore, Karnataka 560071","Indiranagar,Bangalore",restaurant,4.3,Tasty dishes and pleasant ambience. Minor delays though.,56,8
The House Of The Momoz,"The House of the Momoz, 1051, BBMP North Karnataka 560024,(4th cross dasarahalli main Rd)","Nagavara & Hennur,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Desi Tea Time,"DESI TEA TIME, SHOP NO 11 1ST MAIN 1ST BLOCK KORAMANGALA JAKKASANDRA EXTENSION BANGALORE-560034","Koramangala,Bangalore",restaurant,3.0,Decent place but nothing special. Could improve.,48,7
Hotel Aadhyas Hot Idly,"HOTEL AADHYAS HOT IDLY, No.25, 6th Main ,6th C Cross Kaggadasapura, CV Raman Nagar Bangalore 560093","CV Raman Nagar,Bangalore",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Pvr Cafe,"PVR Cafe, 4th Floor 4D Square Mall, Sarkhej - Gandhinagar Hwy, opp. Vishwakarma Engineering College, Ahmedabad, Gujarat 380005","Chandkheda,Ahmedabad",restaurant,2.0,"Below expectations, probably won't return soon.",47,6
Knight Bite,"Knight Bite, N cross, No.23, Newgurappanpalya,BTM layout ,1st stage Bangalore - 560029","BTM,Bangalore",restaurant,3.4,"Neutral feelings. Some dishes were good, some not.",50,8
The Hungry Habibi,"The Hungry Habibi, 3, Swami Vivekananda Rd, Kadiranapalya, Indiranagar, Bengaluru, Karnataka 560038, India","Indiranagar,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
The Bangalore Dhaba,"The Bangalore Dhaba, 2nd Floor, 2075 Supraja Building, 4th Cross, 2nd Block, HRBR Layout, Bangalore - 560043","Kammanahalli/Kalyan Nagar,Bangalore",restaurant,4.6,"Fantastic experience, will visit again. Great ambience too.",59,8
Jashn-E-Biryani,"Jashn-E-Biryani, Shop No-38/7/1, Ground Floor, NVK Mansion, Yelachenahalli, Kanakpura Main Road, Bangalore, Opp to Nandhana Palace, Bangalore South, Bangalore Urban, Karnataka","Kanakapura Road,Bangalore",restaurant,3.0,"Food was okay, average experience.",34,5
Big Red Bowl,"Big Red Bowl, Bommanahalli Post Office, Mangammanapalya Main, Rajiv Gandhi Nagar, Sector 3, Bommanahalli, Bengaluru, Karnataka, India","HSR,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
A Hole Lotta Love Cafe,"A hole lotta love cafe, 1C - 304, Nehru Road, 3rd Block, HRBR Layout, St. Thomas Town Post, Bangalore - 560084","Kammanahalli/Kalyan Nagar,Bangalore",restaurant,4.3,Good experience overall. Worth a repeat visit.,46,7
Jitu Odisha  Food,"JITU ODISHA  FOOD, 1shop, SGR Dental College Rd, near RAILWAY GET, Thubarahalli, Whitefield, Bengaluru, Karnataka 560037, India","Kadubeesanahalli,Bangalore",restaurant,5.0,"Fantastic experience, will visit again. Great ambience too.",59,8
Punams Ice Creams,"PUNAMS Ice Creams,  No 1490, 5th phase,  BEML Layout , Double road Rajarajeswari Nagar, Bangalore 560098","Rajarajeshwari Nagar,Bangalore",restaurant,4.0,Very good food and good service. Would recommend.,49,8
Take A Way,"Take A Way, Shop No:#7, 2nd Cross Road, 1st Main Road, 2nd Main Rd, M S Ramaiah Nagar, Mathikere, Bengaluru, Karnataka 560054, India","Sanjay Nagar, New BEL Road,Bangalore",restaurant,3.0,Quality is inconsistent — had better visits before.,51,8
Rolls First,"Rolls First, Aahar Vihar, Sai Baba Temple Road, Green Garden Layout, Silver Springs Layout, Munnekollal, Bengaluru, Karnataka, India","Marathahalli,Bangalore",restaurant,3.8,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Bangalore Tiffanis,"Bangalore Tiffanis, No 2, Pavani Chandana Apartment, Fruit Market Road, Electronic City Phase 2, Bangalore - 560100","Electronic City,Bangalore",restaurant,1.0,Terrible experience — won't visit again.,40,6
Imly Restaurant,"Imly Restaurant, R.S.NO 217,TP-215,FP-60, NR. MONTE CRISTO BANQUET, AMBALI, AHMEDABAD  380058","Bopal,Ahmedabad",restaurant,4.0,Good experience overall. Worth a repeat visit.,46,7
Delhi Biryani Cafe,"DELHI BIRYANI CAFE, Shop No.3,Situated at no.45, shamala reddy dental college road manjunatha layout, munnekolala, Marathahalli, Hebbala, B.B.M.P North, Bangalore, Karnataka-560037","Marathahalli,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Kitty'S Corner,"Kitty's Corner, NO 29 OPPOSITE TO CHANDRAPPA HOTEL, 4TH CROSS, MSR College Rd, Gokula 1st Stage, Mathikere Extension, Mathikere, Bengaluru, Karnataka 560054,","Sanjay Nagar, New BEL Road,Bangalore",restaurant,4.0,Good experience overall. Worth a repeat visit.,46,7
R A Caterers & Hotel,"R A CATERERS & HOTEL, NO,133 BEEDI WORKERS COLONY KENGERI R R NAGAR BANGALORE, RR Nagara, B.B.M.P West, Karnataka - 560060","Jayanagar,Bangalore",restaurant,5.0,Absolutely loved it — excellent taste and friendly staff.,57,9
R J Bhajipav Fastfood And More,"R J Bhajipav Fastfood And More, Shantiniketan Complex, nr. Gurukul Road, Memnagar, Ahmedabad, Gujarat 380052, India","Ghatlodia,Ahmedabad",restaurant,3.0,Quality is inconsistent — had better visits before.,51,8
Kill My Hunger,"Kill My Hunger, #14, 1st floor, Above Patel Medical, 7th Main, BTM 2nd Stage, N S Palya, Bengaluru, Karnataka 560076","BTM,Bangalore",restaurant,3.0,"Neutral feelings. Some dishes were good, some not.",50,8
Raj Chole Puri,"Raj Chole Puri, 15 RAJU COMPLEX MAMNAGEP AHEMDABAD MUNICIPAL CORPORATIONI AHEMDABAD","Ghatlodia,Ahmedabad",restaurant,5.0,"Fantastic experience, will visit again. Great ambience too.",59,8
Hoifoods,"Hoifoods, Hatti Punjabi di, 998/N, Ground Floor, Opposite HDFC Bank, 1st Main, Koramangala 1st Block, Bangalore","Koramangala,Bangalore",restaurant,1.0,Very bad food and rude staff. Avoid this place.,47,9
Tibbs Frankie,"Tibbs Frankie, #650. 100 Feet road 6th Block. Koramangala Bengaluru 560047","Koramangala,Bangalore",restaurant,4.1,Enjoyed the meal — service could be a bit faster.,49,10
Hotel Salam,"Hotel Salam, 43/1,OPP.Salarpuria Serenity ,M G Palya Main Road, Bangalore-560068","HSR,Bangalore",restaurant,4.0,Very good food and good service. Would recommend.,49,8
Biryani Pot,"Biryani Pot, 14th  Cross, 4th link Road Maruthi Nagar Madiwala Bangalore 68","BTM,Bangalore",restaurant,3.8,Nice place with tasty food. Slight issues with timing.,54,9
Ambur 5 Star Biryani,"Ambur 5 Star Biryani, NADEEM'S KITCHEN NO. 33, 1st FLOOR-BACK HOUSE, 1st MAIN, KANAKANAGAR, R. T. NAGAR POST, BANGALORE , Hebbala , B.B.M.P North, Karnataka-560032","R.T. Nagar,Bangalore",restaurant,3.0,Decent place but nothing special. Could improve.,48,7
Shree Ganesha Juice Center,"Shree Ganesha juice center, #368,6th main, 8th cross, ward no. 36,mathikere ( MSR Nagar) Bangalore 560054","Sanjay Nagar, New BEL Road,Bangalore",restaurant,3.0,"Neutral feelings. Some dishes were good, some not.",50,8
Cake Culture,"Cake Culture, 1,MotiPark Society,Opp Vodafone Shivranjani Store,Nr Maruti Tower,Satellite Road,Ahmedabad,Gujarat,380015","Vastrapur,Ahmedabad",restaurant,4.0,Good experience overall. Worth a repeat visit.,46,7
Popsy Indian Nati Kitchen,"POPSY INDIAN NATI KITCHEN, #5,2nd Main Road, Subedharpalya, Yeshwanthapura , B.B.M.P North, Karnataka - 560022","Yeshwanthpur,Bangalore",restaurant,4.0,Very good food and good service. Would recommend.,49,8
Keventers Ice Cream,"Keventers Ice Cream, New 114, 2nd, 3rd Floor, Municipal 1st, 2nd Floor, Industrial Layout, Koramangala 7th Block, Bangalore","Koramangala,Bangalore",restaurant,4.3,Enjoyed the meal — service could be a bit faster.,49,10
Sri Manjunatha Refreshments,"Sri Manjunatha refreshments, 63/3 4th cross ,9th A main, Btm layout 1st stage, Bangalore","BTM,Bangalore",restaurant,5.0,Absolutely loved it — excellent taste and friendly staff.,57,9
The Asian Palate,"The Asian Palate, 47/7, Nanjunda Reddy Complex, Opp. Velankani Gate 2, Electronic City Phase 1, Bangalore- 560100","Electronic City,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
Meat And Eat,"Meat and Eat, #75/4, Maruthi Nagar Main Road, Next to Surya Sweets, BTM 1st Stage, Bangalore - 560068","BTM,Bangalore",restaurant,4.0,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Desii Delicious,"Desii delicious, L-1, Desii delicious, neeldeep complex, Nehru Park, Mahavir Nagar society, Vastrapur, Ahmedabad, Gujarat 380015, India","Vastrapur,Ahmedabad",restaurant,5.0,Amazing food and great service! Highly recommended.,51,7
Btc (Bathinda Thali Company),"BTC (Bathinda Thali Company), 2331, 17th Cross Road, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102","HSR,Bangalore",restaurant,5.0,Amazing food and great service! Highly recommended.,51,7
Chaat Paavlian,"Chaat Paavlian, 1st Cross, K.G. Road, Majestic, Bengaluru 560009","Majestic,Bangalore",restaurant,4.0,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Coorg Food Station,"Coorg Food Station, 175, 175, C Thimma Reddy Layout, Chandrareddy Layout, BDA Layout BTM 4th Stage, Bengaluru, Karnataka 560076, India","Arekere,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
New Gfc Biriyani & Fried Chicken,"New GFC Biriyani & Fried Chicken, NO.121, 40ft Road, 2nd Phase, Manjunatha Nagar, WOC road, Rajajinagar, Bangalore 560010","Basaveshwaranagar,Bangalore",restaurant,5.0,Absolutely loved it — excellent taste and friendly staff.,57,9
Gold Grill,"Gold Grill, No 1673 , 27th main road , sector -2  , HSR layout , Bangalore 560102","HSR,Bangalore",restaurant,4.4,Enjoyed the meal — service could be a bit faster.,49,10
Beyondburg Inc.,"beyondburg inc., 1st Main Road  Bharathi Layout,Venkateshwara Layout  Suddagunte Palya Bangalore 560029","BTM,Bangalore",restaurant,3.0,"Neutral feelings. Some dishes were good, some not.",50,8
Eatfit,"EatFit, ORBIS TOWER,2ND FLOOR,PRASHANTH EXTENSION,HOPE FARM JUNCTION,WHITEFIELD,KADIGODI,BANGALORE ,Mahadevapura , B.B.M.P East, Karnataka-560066","Kadugodi,Bangalore",restaurant,4.6,"Fantastic experience, will visit again. Great ambience too.",59,8
Chicken Mansion,"Chicken Mansion, 27, Vishveswaraya road, BTM 6th stage, Bannerghatta Main Rd, near Sai Baba temple, Nyanapanahalli, Royal Residency Layout, J. P. Nagar, Bengaluru, Karnataka 560076, India","Arekere,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
Mr Meetharam,"Mr Meetharam, Shop No 3, Ground Floor, Falak Complex, 22nd Cross, Sector -2, HSR Layout,Bangalore,,Bommenahalli,BangaloreSouth, Bangalore Urban, Karnataka -560102","HSR,Bangalore",restaurant,5.0,Amazing food and great service! Highly recommended.,51,7
Joy Caters,"Joy caters, JOY CATERING SERVICE, 2nd Cross Road, Banjara Residency, Lakeview Residency, Bengaluru, Karnataka, India","Geddalahalli,Bangalore",restaurant,4.2,Very good food and good service. Would recommend.,49,8
Barbeque Nation,"Barbeque Nation, 1st Floor, Satyaone, Drive In Rd, opp. Manav Mandir, Memnagar, Ahmedabad, Gujarat 380052","Vastrapur,Ahmedabad",restaurant,3.8,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Selvi'S,"Selvi's, 200/3, 2nd Main Rd, AG's Layout, Mathikere, Bengaluru, Karnataka 560054, India","Sanjay Nagar, New BEL Road,Bangalore",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
D A Ying Yang Cuisines,"D A Ying Yang Cuisines, No 18,Millers Road","Frazer Town,Bangalore",restaurant,4.3,Very good food and good service. Would recommend.,49,8
Pure Andhra Style Reddy'S Restaurant,"Pure Andhra Style Reddy's Restaurant, #94,Narayna swami building, Behind croma, panathur railway station road, panathur-560103","Kadubeesanahalli,Bangalore",restaurant,3.7,Good experience overall. Worth a repeat visit.,46,7
Swaad Ka Tadkaa,"Swaad ka tadkaa, S-1004 SPG EVANS, B/H APOLLO INTERNATIONAL SCHOOL, VIP ROAD, SOUTH BOPAL-380058, AHMEDABAD","Bopal,Ahmedabad",restaurant,5.0,"Fantastic experience, will visit again. Great ambience too.",59,8
Nandhana Palace,"Nandhana Palace, KGS Arcade  Khatha No 328 1  228 227 13 14  BBMP Sl No 1  13   14 Ward No 54  Byrathi Kothanur  Hennur Main Road  Bangalore   560 077","Geddalahalli,Bangalore",restaurant,4.2,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Asharfi Kulfi,"Asharfi Kulfi, 21, Mahalaxmi Municipal Complex, Nr Vipul Dudiya, Near SBI Bank, Paldi, Ahmedabad","Paldi & Ambawadi,Ahmedabad",restaurant,4.7,Top-notch food and service. Best place in town.,47,8
Jumbo Box,"Jumbo Box, 4, Maharshi Complex, Ankur Cross Road, Naranpura, Ahmedabad","Naranpura,Ahmedabad",restaurant,4.1,Enjoyed the meal — service could be a bit faster.,49,10
Gowdru Jonne Biriyani,"Gowdru jonne biriyani, 451, 74/50, 24th Main Rd, Phase 3, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102","HSR,Bangalore",restaurant,3.4,Decent place but nothing special. Could improve.,48,7
The Pastry Cafe,"The Pastry Cafe, 6th Cross Rd, near SBI ATM, Teacher's Colony, Bengaluru, Karnataka 560034","HSR,Bangalore",restaurant,4.0,Nice place with tasty food. Slight issues with timing.,54,9
Freshness - Fruits And Juices,"Freshness - Fruits and juices, 274, 1st Cross, 7th Main Rd, Mico Layout, BTM 2nd Stage, Bengaluru, Karnataka 560076","BTM,Bangalore",restaurant,3.0,"Neutral feelings. Some dishes were good, some not.",50,8
Id Cafe,"ID cafe, Sir M Vishveshwaraiah Main Rd, BHEL 2nd Stage, Pattanagere, RR Nagar, Bengaluru, Karnataka 560098, India","Rajarajeshwari Nagar,Bangalore",restaurant,4.0,Good experience overall. Worth a repeat visit.,46,7
Namaste,"Namaste, 1086/A, 1087/A, 14th Main, 18th Cross Rd, near BDA Complex, III Sector, HSR Layout, Bengaluru, Karnataka 560102","HSR,Bangalore",restaurant,4.0,Very good food and good service. Would recommend.,49,8
Royal Garden Family Restaurant,"Royal garden family restaurant, BADRAPPA LAYOUT, KODIGEHALLI GATE, HEBBALA, BENGALURU, HEBBALA, B,B,M,P NORTH KARNATAK,560032","Sanjay Nagar, New BEL Road,Bangalore",restaurant,4.0,Nice place with tasty food. Slight issues with timing.,54,9
Food Nest,"Food Nest,  plot num:85, vinayaka Nagar, near SBI Bank","Bopal,Ahmedabad",restaurant,3.8,Nice place with tasty food. Slight issues with timing.,54,9
"Portobello""S","PORTOBELLO""S, NUMBER 353/354, 1ST A CROSS, 7TH BLOCK KORAMANGALA BANGALORE 560095 BTM LAYOUT B.B.M.P SOUTH KARNATAKA","Koramangala,Bangalore",restaurant,4.0,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Asha Sweet Center,"Asha Sweet Center, #9, 24 th Main Road, 4th cross, Marenahalli village, 2nd phase JP nagar, Bangalore 560078","JP Nagar,Bangalore",restaurant,4.4,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Ponchobyanjon The Flavor Of Bengal,"PONCHOBYANJON THE FLAVOR OF BENGAL, 71 Krishnappa Gowda Building  Neeladri Road.Electronic City  Phase 1  560100","Electronic City,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Sri Raghavendra Davanagere Benne Dose Hotel,"Sri Raghavendra Davanagere Benne Dose Hotel, No 76 Sarakki Gate Kanakapura Main Road JP Nagar 1st Phase Bangalore","JP Nagar,Bangalore",restaurant,3.5,Nice place with tasty food. Slight issues with timing.,54,9
Oven Story Pizza,"Oven Story Pizza, SHOP NO 2, HOTEL SHAHI PALACE ,VASTRAPUR LAKE, AHMEDABAD,GUJARAT","Vastrapur,Ahmedabad",restaurant,4.1,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Honey Mangalore Special,"HONEY MANGALORE SPECIAL, 8, Attur Layout, Yelahanka, Bengaluru, Karnataka 560064, India","Yelahanka,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
